row_number,player_name,team_abbreviation,age,gp,w,l,min,pts,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,pf,nba_fantasy_pts,dd2,td3,plus_minus,last_update,season
1,Nikola Jokić,DEN,30,67,43,24,2461.4,2007,763,1323,57.7,134,323,41.5,347,432,80.3,193,664,857,685,223,119,44,152,4329,57,32,540,2025-04-07 11:37:37.144203,2024-25
2,LeBron James,LAL,40,67,42,25,2350.6,1641,626,1220,51.3,145,382,38.0,244,314,77.7,70,458,528,561,251,67,39,95,3183,32,10,-54,2025-04-07 11:37:37.144203,2024-25
3,Cade Cunningham,DET,23,67,37,30,2348.7,1723,640,1391,46.0,143,404,35.4,300,351,85.5,54,360,414,613,297,68,50,187,3196,30,9,175,2025-04-07 11:37:37.144203,2024-25
3,Domantas Sabonis,SAC,28,66,34,32,2291.7,1266,498,847,58.8,60,149,40.3,210,281,74.7,252,665,917,400,194,44,24,218,2976,57,9,138,2025-04-07 11:37:37.144203,2024-25
3,Giannis Antetokounmpo,MIL,30,64,37,27,2187.6,1953,762,1265,60.2,12,57,21.1,417,675,61.8,141,622,763,403,203,56,74,154,3660,52,9,280,2025-04-07 11:37:37.144203,2024-25
3,Josh Hart,NYK,30,75,48,27,2814.8,1033,396,750,52.8,82,245,33.5,159,204,77.9,155,560,715,441,155,115,27,191,2824,33,9,224,2025-04-07 11:37:37.144203,2024-25
7,Josh Giddey,CHI,22,69,32,37,2076.2,994,360,779,46.2,102,272,37.5,172,221,77.8,125,425,550,492,198,82,42,120,2566,29,6,-79,2025-04-07 11:37:37.144203,2024-25
8,Luka Dončić,LAL,26,47,29,18,1668.4,1301,425,963,44.1,162,455,35.6,289,365,79.2,39,351,390,365,169,84,20,120,2460,21,5,297,2025-04-07 11:37:37.144203,2024-25
9,Alperen Sengun,HOU,22,75,52,23,2371.4,1437,560,1129,49.6,21,90,23.3,296,428,69.2,260,521,781,368,194,84,60,208,3164,45,4,418,2025-04-07 11:37:37.144203,2024-25
9,Russell Westbrook,DEN,36,72,40,32,2026.0,958,362,802,45.1,93,281,33.1,141,219,64.4,100,263,363,443,236,103,37,185,2242,13,4,-39,2025-04-07 11:37:37.144203,2024-25
11,Amen Thompson,HOU,22,68,43,25,2199.2,955,382,688,55.5,25,90,27.8,166,243,68.3,190,368,558,259,137,96,88,164,2428,21,3,283,2025-04-07 11:37:37.144203,2024-25
11,Jimmy Butler III,GSW,35,51,34,17,1612.2,872,276,555,49.7,29,98,29.6,291,348,83.6,121,163,284,272,72,70,17,50,1810,6,3,209,2025-04-07 11:37:37.144203,2024-25
13,Damian Lillard,MIL,34,58,32,26,2092.9,1447,444,992,44.8,197,524,37.6,362,393,92.1,29,243,272,410,162,70,10,97,2466,14,2,53,2025-04-07 11:37:37.144203,2024-25
13,Deni Avdija,POR,24,72,33,39,2161.1,1219,402,844,47.6,125,342,36.5,290,372,78.0,110,412,522,281,196,71,35,171,2389,17,2,-78,2025-04-07 11:37:37.144203,2024-25
13,James Harden,LAC,35,75,46,29,2623.1,1684,492,1222,40.3,220,637,34.5,480,549,87.4,50,376,426,645,325,112,52,154,3330,34,2,311,2025-04-07 11:37:37.144203,2024-25
13,Jaylin Williams,OKC,22,44,37,7,732.4,251,88,206,42.7,54,143,37.8,21,28,75.0,46,199,245,108,31,20,28,75,820,3,2,266,2025-04-07 11:37:37.144203,2024-25
